Word	Activation	Evaluation	Imagery
announce	1.786400	0.006343	-0.044999
announced	0.559548	0.001518	0.010639
announcement	0.148749	0.132305	0.010639
annoys	6.243345	-2.341412	-0.710102
annual	-1.702669	-0.155062	-0.710102
annually	-0.395133	0.018621	-1.340844
anonymous	-0.491564	-0.372557	-2.170380
another	-0.061624	-0.238684	-2.170380
answer	0.797123	0.132305	-0.044999
answered	0.493704	0.419690	-0.044999
answering	1.232379	-0.372557	-0.044999
answers	0.010809	0.012373	-0.044999
antenna	0.010809	-0.019958	2.820747
anti	0.148749	-3.644431	-2.170380
anti-semitism	2.734141	-1.116716	-2.170380
anti-slavery	6.243345	-0.874088	-0.278153
anticipate	0.148749	0.132305	-0.044999
anticipated	-0.114763	0.474057	-1.340844
anticipation	1.039588	-0.238684	0.010639
anticlimax	-0.014752	-1.506035	-1.340844
antique	-1.930160	0.018621	2.820747
anxiety	5.828508	-3.644431	-0.710102
anxious	2.734141	-3.644431	-0.044999
any	-1.289890	-0.999857	-2.170380
anybody	-0.005671	0.024694	-1.340844
anyhow	-0.778214	-1.326004	-2.170380
anyone	-1.289890	-0.999857	-1.340844
anything	0.000544	-0.372557	-1.340844
anyway	-0.114763	-0.372557	-2.170380
anyways	-0.211108	-0.417683	-2.170380
anywhere	-0.319455	-0.041802	-1.340844
apart	0.445416	-2.744104	1.861138
apartment	0.559548	-0.372557	2.820747
apartments	0.017453	-0.596989	2.820747
apologize	1.514929	-0.000229	-0.710102
apologizes	4.310702	0.132305	-0.278153
apologizing	0.445416	0.132305	-0.278153
apparatus	-0.014752	-0.101185	-0.278153
apparent	0.004722	-0.041802	-2.170380
apparently	0.004722	-0.041802	-2.170380
appeal	1.514929	-0.155062	-2.170380
appealed	1.039588	-0.041802	-0.710102
appealing	5.559872	0.754725	-0.278153
appeals	0.559548	0.474057	-2.170380
appear	-0.014752	-0.297432	-0.710102
appearance	0.559548	0.474057	0.175072
appearances	-0.014752	-0.297432	0.538300
appeared	-0.395133	-0.297432	-0.278153
appearing	0.797123	0.349300	-0.710102
appears	-0.319455	0.006343	-0.044999
appendix	-1.289890	-2.115523	-0.710102
appetite	1.039588	0.132305	0.010639
appetizer	0.148749	1.257212	1.861138
applause	6.967768	-0.019958	2.820747
applicable	-1.702669	-0.596989	-1.340844
applicants	0.653476	-0.596989	0.538300
application	0.004722	-0.041802	0.010639
applications	1.514929	-0.596989	0.010639
applied	-0.211108	-0.596989	-0.710102
applies	-0.395133	-0.999857	-1.340844
apply	0.356293	-0.000229	-1.340844
applying	0.148749	0.001518	-1.340844
appointment	0.148749	-1.326004	0.010639
appreciate	0.445416	3.530636	-0.278153
appreciated	-0.001370	3.530636	-1.340844
appreciation	-0.061624	5.533872	-0.710102
apprehension	0.653476	-1.326004	-0.278153
apprehensive	-0.031595	-2.744104	-0.044999
apprentice	0.000544	-0.372557	0.175072
approach	0.445416	-0.019958	-0.278153
approached	-0.001370	-0.155062	-0.044999
approaches	0.148749	-0.019958	0.010639
approaching	0.148749	-0.155062	0.010639
appropriate	-0.140645	0.349300	-2.170380
appropriated	-0.491564	-0.372557	-2.170380
approval	1.514929	5.096954	-0.278153
approve	1.160278	5.904511	0.010639
approved	0.559548	3.948896	-0.044999
approving	0.148749	3.530636	-0.044999
approximate	-0.211108	-0.596989	-0.710102
approximately	-1.130421	-0.372557	-0.710102
april	0.716846	2.571334	2.820747
apt	-0.114763	0.001518	-2.170380
arbitrary	0.900809	-1.326004	-1.340844
arc	-0.491564	-0.372557	0.538300
arcane	-0.211108	-1.326004	-2.170380
arch	-2.699025	-0.999857	2.820747
archaeology	0.010809	-0.155062	0.010639
arched	-0.211108	-1.326004	1.861138
architect	-0.114763	0.001518	1.100322
architecture	-0.001370	-0.000229	0.538300
ardent	0.445416	-0.155062	-2.170380
are	-0.211108	-0.155062	-2.170380
area	-1.437902	-0.238684	0.010639
areas	-1.130421	-0.372557	0.010639
aren't	-1.702669	-2.341412	-2.170380
argue	8.534390	-3.644431	-0.710102
argued	6.782935	-3.644431	-0.278153
argues	6.967768	-2.744104	-0.044999
arguing	6.548573	-3.644431	0.010639
argument	3.882810	-3.644431	-0.278153
arguments	3.365654	-3.644431	-0.044999
arise	0.148749	-0.000229	-0.278153
arises	-0.001370	-0.000229	0.010639
arising	-0.001370	0.132305	0.010639
ark	-0.995083	0.024694	0.175072
arm	0.000544	-0.081564	2.820747
armed	0.004722	-1.797865	0.010639
armies	0.797123	-1.506035	1.861138
arms	0.148749	-0.596989	1.100322
army	0.559548	-2.509878	1.100322
arose	0.148749	0.379756	-0.710102
around	0.148749	-0.019958	-0.278153
aroused	5.232408	0.868498	1.100322
arrange	0.493704	-0.238684	-0.710102
arranged	-0.001370	-0.596989	-0.278153
arrangement	0.148749	-0.155062	0.538300
arrangements	0.000544	-0.081564	0.010639
arranging	1.786400	-0.238684	0.010639
array	0.408639	0.018621	-2.170380
arrest	7.117152	-0.999857	2.820747
arrested	8.534390	-3.644431	0.538300
arrival	-0.061624	-0.596989	0.538300
arrive	-0.014752	-0.297432	0.010639
arriving	2.734141	0.669604	0.175072
arrogant	4.310702	-3.644431	-0.710102
arrow	-0.211108	-1.326004	2.820747
art	-0.001370	1.257212	1.861138
arteries	0.000544	-1.586861	0.175072
artery	0.010809	-0.019958	-0.044999
article	-0.319455	0.006343	1.100322
articles	-0.211108	-0.019958	0.175072
artificial	-0.491564	-0.874088	-0.710102
artillery	0.408639	-0.101185	0.175072
artist	2.734141	-0.000229	1.861138
artistic	4.310702	1.257212	-0.278153
artists	3.882810	0.419690	1.100322
arts	0.017453	3.820782	1.861138
as	-0.778214	-0.596989	-2.170380
ascent	0.493704	0.006343	-1.340844
ash	-2.517232	-0.808232	1.100322
ashamed	1.786400	-3.644431	-0.278153
asian	-0.211108	0.012373	1.100322
aside	-0.491564	-0.081564	-0.278153
ask	-0.014752	-0.297432	-0.710102
asked	-0.114763	-0.372557	-0.710102
asking	-0.395133	-0.999857	-0.710102
asks	-0.014752	-0.999857	-0.710102
asleep	-0.778214	2.983926	1.861138
aspect	-0.491564	-0.372557	-1.340844
aspects	-2.699025	-0.999857	-1.340844
aspirations	1.786400	4.277952	-0.278153
aspiring	0.653476	2.250380	-0.710102
assassin	5.559872	-3.644431	1.861138
assault	6.548573	-3.644431	1.100322
assembled	-0.211108	-0.596989	0.010639
assemblies	0.148749	-0.041802	-0.044999
assembly	0.148749	-0.155062	-0.044999
assert	4.310702	-0.155062	-1.340844
asserted	0.797123	-0.297432	-0.710102
assertive	6.243345	0.030421	-0.710102
assessing	0.148749	0.132305	-1.340844
assessment	0.653476	-0.596989	-0.710102
assessors	0.445416	-0.155062	-0.710102
assets	0.148749	-0.000229	-0.278153
assign	0.000544	0.006343	-0.710102
assigned	-0.001370	-1.326004	-0.710102
assignment	0.148749	-1.971295	0.538300
assignments	0.148749	-0.874088	0.538300
assist	0.445416	1.257212	-0.278153
assistance	-0.001370	0.132305	-0.278153
assistant	-0.549348	0.132305	0.538300
assistants	-0.001370	-0.000229	0.538300
associate	-0.395133	0.132305	-0.044999
associated	-0.491564	-0.081564	-0.044999
associates	-0.778214	-0.155062	0.010639
association	-0.287614	0.132305	-0.044999
associations	-0.491564	-0.081564	-0.278153
assume	0.148749	-0.596989	-2.170380
assumed	-0.211108	-1.326004	-2.170380
assuming	-0.114763	-0.372557	-1.340844
assumption	0.148749	-0.767485	-1.340844
assumptions	-0.114763	-0.372557	-1.340844
assurance	0.900809	0.754725	-0.710102
assure	0.000544	0.474057	-0.278153
assured	-0.211108	0.132305	-0.278153
assuring	-0.014752	0.132305	0.010639
astronomy	-0.031595	1.257212	0.538300
at	-0.778214	-0.596989	-2.170380
ate	0.148749	0.474057	0.175072
athletic	2.734141	0.551470	1.100322
atlantic	-0.031595	-0.155062	1.100322
atlas	-0.211108	-0.019958	2.820747
atmosphere	-0.778214	1.478728	1.100322
atom	0.148749	-0.874088	0.538300
atoms	0.653476	-1.326004	0.538300
attach	0.004722	0.419690	-0.044999
attache	-0.778214	-0.238684	-1.340844
attached	-0.211108	0.132305	0.175072
attack	3.365654	-3.644431	1.861138
attacked	6.548573	-3.644431	0.538300
attacks	6.548573	-3.644431	1.100322
attain	1.514929	0.132305	-1.340844
attempt	0.653476	-1.326004	-1.340844
attempted	0.148749	-1.326004	-0.710102
attempting	1.314201	0.018621	-0.278153
attempts	0.559548	-1.586861	-0.278153
attend	-0.061624	-0.041802	-0.278153
attendance	-0.211108	-0.008248	0.010639
attendant	-0.031595	-0.019958	0.010639
attended	0.148749	-0.081564	0.010639
attending	-0.031595	0.012373	-0.044999
attention	1.514929	-0.019958	0.010639
attic	-2.298518	-0.596989	2.820747
attitude	0.493704	-0.238684	0.010639
attitudes	2.734141	-0.000229	0.010639
attorney	1.514929	-2.341412	1.861138
attract	6.548573	1.789844	-0.044999
attracted	2.287776	3.530636	0.010639
attraction	7.117152	4.760949	0.538300
attractive	2.734141	2.983926	1.100322
attributed	-0.395133	-0.297432	-0.710102
attributes	-0.061624	-0.041802	-0.278153
audience	3.637002	0.132305	1.861138
audiences	0.148749	0.349300	1.861138
auditorium	0.148749	-0.000229	2.820747
august	-0.001370	1.257212	1.861138
aunt	-0.211108	1.257212	2.820747
aura	-0.114763	0.132305	-1.340844
auspicious	0.148749	-0.417683	-1.340844
authentic	-1.130421	1.026312	-0.278153
author	-0.587968	0.012373	0.538300
authorities	2.287776	-0.874088	1.861138
authority	0.653476	0.349300	-0.044999
authorized	0.493704	-0.155062	-0.278153
authors	-0.319455	-0.155062	1.100322
auto	0.445416	0.754725	1.100322
automatic	0.148749	2.250380	-1.340844
automatically	0.010809	0.132305	-0.278153
automobile	1.314201	2.250380	2.820747
automobiles	0.716846	0.379756	2.820747
autonomy	-0.140645	0.419690	-0.710102
autumn	-1.508064	0.012373	2.820747
availability	0.010809	2.763584	-1.340844
available	0.004722	0.551470	-0.278153
avenue	-1.702669	0.132305	0.538300
average	-2.032228	-0.008248	-0.044999
averaged	-0.114763	-0.297432	-0.710102
averages	-0.450163	0.132305	-0.278153
avert	-0.211108	0.132305	-1.340844
avocado	-4.622537	0.132305	2.820747
avoid	-0.140645	0.006343	0.010639
avoided	0.493704	-0.596989	0.538300
avoiding	0.148749	-1.971295	0.175072
awake	3.220259	0.001518	1.861138
award	-0.061624	5.096954	2.820747
awarded	1.314201	4.277952	1.100322
awards	-0.319455	2.250380	1.100322
aware	2.734141	0.551470	-0.278153
awareness	2.168184	0.669604	-0.044999
away	-0.270207	-0.000229	0.175072
awful	-0.031595	-3.644431	0.010639
awfully	-0.061624	-3.644431	-0.710102
awkward	-0.005671	-3.644431	-0.044999
awoke	0.493704	-0.000229	0.010639
axis	-1.702669	0.001518	0.538300
aye	-2.298518	-0.155062	-2.170380
babies	1.709964	4.543310	2.820747
baby	1.514929	3.948896	2.820747
babysit	1.709964	0.132305	0.175072
babysitter	-0.319455	0.132305	2.820747
babysitting	1.514929	0.669604	0.175072
back	-1.437902	-0.000229	1.100322
backed	-0.211108	-0.008248	-0.278153
background	-2.517232	0.474057	1.100322
backs	-0.778214	0.551470	0.538300
backward	-0.959986	-1.662173	1.100322
bacon	-0.549348	0.001518	1.861138
bacterial	-0.319455	-1.326004	0.538300
bad	0.445416	-1.586861	0.175072
badger	0.445416	-0.372557	1.100322
badgers	2.420824	-1.172147	2.820747
badly	-0.211108	-3.644431	-0.710102
bag	-2.852790	0.012373	2.820747
bags	-2.517232	0.132305	2.820747
baiting	-0.061624	-0.596989	0.538300
bake	2.168184	0.132305	2.820747
baker	0.716846	1.257212	2.820747
balance	-0.319455	0.551470	0.175072
balanced	0.010809	2.763584	0.538300
ball	0.148749	0.132305	2.820747
ballet	1.709964	0.132305	1.861138
ballistic	4.972390	-0.417683	0.175072
balloon	0.017453	3.183455	2.820747
ballot	-0.549348	0.001518	0.538300
balls	0.004722	0.132305	1.861138
baloney	-0.778214	-1.116716	1.100322
bananas	-1.930160	1.478728	2.820747
band	-0.093515	0.132305	1.100322
bandied	-0.549348	-0.081564	-0.710102
bands	0.017453	-0.238684	1.100322
bank	-0.031595	0.001518	2.820747
bankers	0.004722	-0.000229	1.861138
banks	-0.319455	1.257212	2.820747
baptist	-1.437902	-0.596989	-0.044999
baptized	0.356293	1.620145	0.538300
bar	0.445416	1.789844	2.820747
barbecue	3.637002	4.277952	2.820747
barbed	0.356293	-2.115523	0.175072
bare	-2.127299	0.012373	2.820747
barely	-1.289890	-1.116716	-0.710102
bargaining	3.997567	1.257212	0.538300
barged	0.379670	-0.808232	-0.710102
bark	0.148749	-3.644431	2.820747
barked	1.314201	-1.797865	0.175072
barn	-1.437902	0.132305	2.820747
barometer	-0.319455	0.132305	1.861138
baroque	-1.046833	0.474057	-2.170380
barrel	-0.587968	0.012373	1.861138
barriers	-0.061624	-0.999857	0.538300
bars	-0.001370	0.018621	2.820747
base	-2.032228	-0.008248	0.175072
baseball	1.514929	0.868498	2.820747
based	-3.195724	0.132305	-1.340844
basement	-1.702669	0.018621	2.820747
bases	-0.778214	0.132305	0.010639
basic	-2.298518	0.132305	-0.044999
basically	-1.437902	0.551470	-0.710102
basics	-3.360064	0.132305	-0.044999
basis	-2.127299	0.754725	-1.340844
basket	-1.046833	0.001518	2.820747
bass	-0.287614	0.754725	0.175072
bastard	0.900809	-2.509878	0.175072
bastards	0.356293	-0.596989	0.175072
bat	-0.061624	-0.155062	2.820747
bath	-1.437902	2.250380	2.820747
bathing	0.716846	4.543310	0.538300
bathroom	-0.450163	0.018621	2.820747
baton	-1.702669	0.474057	0.538300
battery	-0.014752	-0.041802	2.820747
batting	2.734141	1.093219	1.100322
battle	4.668458	-1.797865	2.820747
battlements	1.709964	-0.808232	0.010639
bawling	2.287776	-0.874088	-0.044999
bay	-3.360064	1.257212	1.861138
be	-1.702669	1.026312	-1.340844
beach	-0.114763	6.951213	2.820747
beached	0.000544	0.132305	1.100322
beaches	-0.587968	1.257212	1.861138
beam	-0.549348	0.474057	0.538300
beamed	-0.114763	-0.008248	-0.278153
beams	0.017453	1.478728	0.538300
bear	0.148749	0.132305	2.820747
beard	-2.127299	0.132305	1.100322
bearded	-1.046833	-0.081564	1.100322
bearing	-0.778214	0.132305	-0.044999
bears	-0.031595	0.001518	1.861138
beat	0.493704	-1.326004	-0.710102
beaten	0.493704	-3.644431	0.538300
beating	2.168184	-2.115523	0.538300
beautiful	-0.270207	6.951213	1.861138
beautifully	-1.702669	6.951213	0.010639
beauty	0.004722	5.096954	2.820747
beavers	2.365905	0.754725	2.820747
became	-0.061624	0.132305	-1.340844
because	-1.046833	-0.081564	-1.340844
become	-0.319455	-0.155062	-0.278153
becomes	0.379670	0.132305	-0.044999
becoming	0.445416	0.001518	-0.044999
bed	-0.140645	1.478728	2.820747
bedroom	-0.778214	0.551470	2.820747
beds	-0.450163	1.093219	2.820747
bee	0.004722	0.132305	2.820747
beef	-0.778214	0.018621	1.861138
been	-1.046833	-0.372557	-1.340844
